Comment,Designator,Footprint,LCSC Part #
1u,C1 C3,C0805,
47k,R1 R2,M0805,
BAS40,D1,SOT23,
S9013,T1,SOT23,
DCDC-MINIDCDC-MINI-SMD,MP1584,DCDC-MINI-SMD,
FDN360P,Q1,SOT23,
MCP1703T-3302,IC1,SOT23,
